stem,label
perusahaan pemerintah swasta tujuan dicapai pencapaian tujuan perusahaan pemanfaatan sumber daya dimiliki optim salah sumber daya sumber daya manusia dimiliki perusahaan sesuai peraturan ditetapkan pt surya madistrindo pamekasan prose promosi jabatan kriteriakriteria aspek kapasita intelektu aspek sikap kerja aspek perilaku masingmas sub kriteria tersendiri metod metod fuzzi analyt network process fanp metod fanp mencari bobot priorita kepentingan kriteria sub kriteria ditetapkan prose perangkingan bobot kriteria masingmas data karyawan pembobotan diperoleh hasil kuesion pimpinan perusahaan prose perangkingan mengalikan nilai bobot kriteria tiaptiap sub kriteria menyeleksi karyawan berhak menduduki jabatan tersedia berdasarkan kriteriakriteria ditentukan hasil uji coba menyelesaikan studi prose promosi jabatan karyawan menghasilkan nilai akurasi 80kata kunci sistem pendukung keputusan promosi jabatan fuzzi analyt network process fanp,komputasi
pelayanan makanan pasien rawat inap rumah sakit tujuan menu diet sesuai syarat gizi minim sesuai penyakit diderita pasien menu disediakan rumah sakit memperhatikan kebutuhan kalori pasiennya individu mengakibatkan penyediaan makanan pasien sesuai kebutuhan kalori perhari pasien dibuatlah sistem pendukung keputusan rekomendasi menu diet pasien alat bantu penyediaan menu makanan pasienmetod metod harri benedict perhitungan total kalori pasien metod euclidean perankingannya diharapkan aplikasi sistem pendukung keputusan merekomendasikan menu diet pasien beserta penjelasan kebutuhan kalori perhari asupan makanan perhari makanan dibatasikata kunci sistem pendukung keputusan harri benedict euclidean,komputasi
penyusunan sistem pendukung keputusan pemilihan teknik rekayasa kebutuhan membantu pengembang perangkat lunak membangun proyek perangkat lunak pemilihan teknik rekayasa kebutuhan berdasarkan pilihan system anali bersangkutan berdasarkan karakteristik teknik rekayasa kebutuhan sesuai proyek perangkat lunak menghasilkan perangkat lunak prose evaluasi pemilihan teknik rekayasa kebutuhan salah tahap proyek pengembangan perangkat lunakdidalam spk prose pemilihan teknik rekayasa kebutuhan kriteria atribut project pengembang perangkat lunak prose cluster metod self organ map som paramet distanc matrix menangani data multi dimension euclidean canberra jeni distanc matrix lazim tingkat akurasinya menangani data riilhasil diperoleh membandingkan hasil cluster metod som berbasi euclidean distanc canberra distanc matrix menghasilkan teknik rekayasa kebutuhan efisien obyektif sesuai karakteristik proyek perangkat lunakkata kunci sistem pendukung keputusan teknik rekayasa kebutuhan cluster self organ map canberra distanc matrix,rpl
sidik jari salah karakteristik fisik manusia identifikasi manusia sidik jari karakteristik berubah kecuali luka rusak akibat kecelakaan sidik jari tindak krimin pencurian kecurangan administrasi prose pendeteksian sidik jari memudahkan pihakpihak berwajib menangani prose pendeteksian lakukan program komput tahap perhitungan penentuan titik kenal corepoint prose berperan prose identifikasi manusia menentukan corepoint titik sidik jari manual otomati manual lakukan kasat mata otomati tentukan sistem tuga menentukan corepoint sidik jari otomati metod geometri of region techniqu grcitra tuga diperoleh databas fvc2002 fingerprintbitmap hasil uji coba sistem terbaik deteksi corepoint sidik jari metod geometri of region techniqu gr m050 v050 prose normalisasi ukuran blok 3 kali 3 pixel hasil akurasi sistem didapatkan 70kata kunci sidik jari corepoint geometri of region techniqu gr normalisasi,komputasi
indonesia perkembangan gizi yangperlu perhatian statusgizinya mengontrol giziyang dibutuhkan tubuh penelitian dirancang aplikasisistem pendukung keputusan menentukan statusgizi pasien solusi makanan pasien sesuai riwayatpenyakit derita pasien sistem dirancang berbasi webdan memudahkan admin ahli gizi rumah sakit dalampenentuan statu gizi pasien diharapkan aplikasi inidapat efisien efektifita kinerja pihakmetod penelitian menggunakannav bay classifi nbc metod terbaru untukmemprediksi probabilitasmetod nave bay classifi melakukanpros penentuan perhitungan probabilita statu gizi dimana dicarinilai probabilita terbesar kesimpulanpenentuan statu gizimetod diterapkan studi sistempenentuan statu gizi pasien hasil akurasi terbesar 92kata kunci nave bay classifi sistem pendukung keputusanstatu gizi web,rpl
pengenalan tulisan tangan topik penelitian popul penel usahausaha sistem pengenalan tulisan tangan otomati teknik berbeda penelitian membaha pengembangan sistem pengenalan tulisan tangan offlin pencirian lokal karakterkarakt tulisan tangan salah faktor penentu pengenalan tulisan tangan model bentuk tulisan tangan penuli dikenali penuli memiliki gaya menuli bentuk tulisan tangan berbeda metod pengenalan pola tulisan tangan penelitian modifi direct featur mdf prose ekstraksi fitur learn vector quantiz lvq prose klasifikasi prose ekstraksi fitur metod mdf penentuan arah gari posisi tiaptiap piksel prose pelatihan data metod learn vector quantiz lvq metod menghasilkan bobot prose pengenalan citra huruf tulisan tangan uji coba sistem hasil terbaik pengenalan citra huruf tulisan tangan diperoleh data pelatihan 260 citra data uji coba 52 citra hasil akurasi sistem didapatkan 7115 kunci tulisan tangan modifi direct featur learn vector quantiz,pba
citra senyum salah fitur biometrik dijadikan bukti autentik sistem pengenalan pola pattern recognit komputerisasi identita ciri pengenalan senyum ditel kalangan salah bentuk penerapan pengenalan pola senyum senyum senyum dikenali komput disimpan databas menentukan pola senyuman manual otomati manual kasat mata otomati tentukan sistem tuga mengidentifikasi senyuman otomati metod princip compon analysi pca linier descrimin analysi lda dimana jeni senyuman tuga dibagi senyum mani senyum mengejek senyum dipaksakan senyum tertutup senyum terbuka penggunaan metod ekstraksi fitur efisien menentukan keberhasilan sistem pengenalan pola metod klasifikasi pengenalan pola euclidean distanc manhattan distanc hasil uji coba 175 gambar data pelatihan didapatkan tingkat akurasi pca 898 ordered3 hasil uji coba pca lda didapatkan tingkat akurasi 100 ordered3,komputasi
batik kerajinan memiliki nilai seni budaya indonesia batik indonesia beragam jeni tekstur batik warna batik pola batik mencerminkan usul daerah batik pencarian citra berbasi tek efektif penilaian subjektif pengguna merepresentasikan citra sistem menangani pencarian citra queri citra sistem perolehan citra berbasi isi spci content base imag retriev cbir penelitian ciri tekstur prose pencarian kemiripan delapan kela citra batik berbeda cirebon bali bangkalan pamekasan sumenep yogyakarta solo pekalongan objek perolehan citra berbasi isi sistem dibangun prose utamanya ekstraksi fitur tekstur metod gray level differ method gldm arah utama gldm menghitung perbedaan mutlak sepasang derajat keabuan terpisah jarak arah hasil ekstraksi fitur pengukuran jarak kemiripan metod euclidean distanc uji coba aplikasi pengukuran kemiripan euclidean distanc nilai threshold7 diperoleh akurasi presisi 61 data pelatihan 168 data uji coba 32 10 citra ditampilkan,komputasi
kebutuhan pencarian data internet cepat faktor pengguna layanan internet sistem informasi tuga simtak fakulta teknik universita trunojoyo madura membutuhkan pencarian data cepat berdasarkan kontek sistem pencarian dipakai pencarian databas dimana hasil pencarian sesuai kontek keyword diinputkan memiliki kebenaran sistem kecerdasan pengetahuan ditangkap dipros ontolog mendukung tuga ontolog spesifikasi konseptualisasi semantik web abstrak representasi world wide web www berbasiskan standar didefinisikan resourc descript framework rdf ontolog web languag owl ide dasarnya membawa web memiliki definisi link data efektif mencari otomasi integrasi reus informasi aplikasi semantik web didefinisikan sekumpulan teknolog dimana komput memahami arti informasi berdasarkan metadata informasi isi informasi judul pengarang modifikasi tanggal halaman web hak cipta halaman web semantik web pencarian tuga hasil berdasarkan persamaan makna keyword diinputkan userkata kunci mesin pencari semant web tuga akhirabstract,rpl
perusahaan memiliki data berkaitan kegiatan bisni dijaga diamankan orang berhak mengaksesnya seringkali muncul aksi ileg mencoba merusak server mencuri data perusahaan mengakibatkan kesalahan fatal kelancaran kegiatan bisni perusahaan disebabkan data valid menyikapi sistem monitor keamanan mengamankan server tindakan penyusupan intrus prevent system ip solusi keamanan jaringan server tindakan penyusupan ip mengembangkan snort fungsi pendeteksi dikombinasikan iptabl firewal pencegah penyusupan ip dilengkapi user interfac base basic analysi and secur engin manajemen rule memudahkan admin memonitor sistem keamanan tindakan penyusupan jaringan server snort alert terdeteksi serangan disimpan log snort memerintahkan iptabl drop alamat penyerang detail serangan tampilan user interfac base hasil pengujian didapatkan snort iptabl ip respon cepat terdeteksi serangan tanggap ratarata 5 detik serangan terdeteksinya alert,rpl
citra digit dimanfaatkan aspek kehidupanoleh membutuhkan tampilan citra merepresentasikan objek citra salah permasalahan pengambilan gambar citra kemampuan mengambil gambar lua gambar diambil kali menyebabkan gambar objeknya terpisahpisah mengatasi permasalahan prose penggabungan citra penelitian metod watersh metod ditentukan titik korespondensi masingmas citra kandidat daerah hasil korespondensi disegmen menggunkan metod watersh hasil segmentasinya mencari region cut acuan penggabungan citra prose penggabungan citra dsebut mosaic panoramik hasil penelitian citra panorama ideal dperoleh citra masukan kesamaan obyek titik korespondensi dipilih obyek citra masukan tersebutkata kunci citra panorama mosaikpanoramik metod watersh,rpl
beasiswa pemberian bantuan keuangan perorangan bertujuan keberlangsungan pendidikan ditempuh program beasiswa diadakan meringankan beban mahasiswa menempuh studi kuliah biaya fakulta teknik universita trunojoyo memiliki program beasiswa berhak menerima beasiswa bantuan belajar mahasiswa bbm beasiwa peningkatan prestasi akademik papa jeni beasiswa memiliki kriteria faktor bobot berbeda seleksi beasiswa mengalami kesulitan banyaknya pemohon banyaknya kriteria manual mengakibatkan efektifnya keputusan membantu menetapkan layak menerima beasiswa dibutuhkan sistem pendukung keputusan metod penelitian analyt network process anp techniqu order prefer by similar tapi ideal solut topsi penelitian diangkat menganalisa validita alternatif terbaik penerima beasiswa berdasarkan kriteriakriteria ditentukan metod anp dicari solusi pengurutan metod topsi berdasarkan hasil uji coba sistem perbedaan selisih hasil rekomendasi sistem data aktual pemenang beasiswa papa jurusan informatika 7857 selisih hasil rekomendasi sistem data aktual pemenang beasiswa bbm jurusan informatika 8095kata kunci anp topsi mcdm pengambilan keputusan multi kriteria seleksi beasiswa,komputasi
spare part salah pengoperasian mesin sepeda motor peningkatan penjualan spare part terduga prose tuneup menyebabkan kesulitan pelayanan terbaik konsumen penurunan penjualan spare part menyebabkan penumpukan spare part gudang sistem peramalan meramalkan penjualan spare part period sistem peramalan metod jaringan syaraf tiruan algoritma propagasi momentum meramalkan penjualan spare part data tersimpan dihitung epoh learn rate berbeda hasil uji coba system disimpulkan data data train learn rate 35 epoh 200 menghasilkan tingkat kesalahan 00622716,komputasi
abstrakpenjiplakan muncul berkembang bidang pendidikan karya tuli isinya menjiplak karya tuli orang mengatasi salah satunya solusinya aplikasi mengelompokan dokumen mendeteksi penjiplakan dokumen tuga aplikasi mendeteksi penjiplakan dokumen membandingkan dokumen pendeteksian penjiplakan dokumen algoritma winnow algoritma winnow berfungsi prose dokumen fingerprint merubah tek sekumpulan nilai nilai hash nilai hash mendeteksi tingkat kesamaan dokumen pengelompokan dokumen algoritma fuzzi kmean hasil uji coba aplikasi diambil kesimpulan nilai ngram basi window hasil prosentas kemiripan dokumen menghasilkan 417 nilai ngram basi window prosentas kemiripan dokumen menghasilkan prosentas 9849 perhitungan nilai fmeasur dipengaruhi keakuratan data diproseskata kunci deteksi penjiplakan cluster fmeasur,pba
sumber daya manusia mutlak dibutuhkan kemajuan perusahaan menjadikan perusahaan perusahaan maju kalah bersa perusahaan dibuatlah sistem pendukung keputusan spk pemilihan karyawan berprestasi mencari karyawan berprestasi sistem pendukung keputusan spk fahp electr ii metod fahp metod obyektif prose penilaian berdasarkan hirarki kriteria digabungkan konsep fuzzi sesuai kriteria penilaian kinerja karyawan perusahaan bobot prose metod electr ii karyawan berprestasi menjaga penilaian berpihak salah karyawan beba intervensi karyawan perusahaan independen profesion penilaian karyawan hasil penilaian angkaangka departemen sdm penjumlahan nilai komulatif kriteria karyawan terbaik priorita kriteria metod fahp electreii hasil keluaran mendekati keakuratan hasil diperoleh areal manag band hitung manual perusahaan memperhatikan bobot kepentingan,komputasi
abstrakdata sama wachid hasyim 2 tamansepanjang data siswa mentah data diolah pengolahan data mengelompokan cluster datadata memiliki beragam metod salah satunya som self organ map menvalidasi data penggunaan distanc matrix idb indek daviesbouldin idb som bertujuan meningkatkan akurasi validasi hasil analisa data penganalisaan data studi sama wachid hasyim 2 tamansepanjang bertujuan tingkat kemiripan siswa kelompok kela metod som mengelompokan data berdekatan dicari kemiripannya berdasarkan pola kemiripan data pengelompokan siswa dijadikan cluster learn rate 06 epoch 10 20 30 mse terkecil 4142 epoch 30 245 data train dijadikan sembilan cluster learn rate 06 epoch 10 20 30 mse terkecil 2504 epoch 20 cluster ke4 245 data train nilai terkecil pemvalidasian cluster idb sembilan cluster 245 data train cluster ke9 nilai idb 3744 hasilnya akurat kela terbentuk kelompokkata kunci cluster som eucledian distanc idb sama wachid hasyim 2 tamansepanjang,komputasi
citra diterapkan aspek kehidupan bidang kedokteran tubuh manusia mendeteksi penyakit bidang geolog memetakan wilayah dibutuhkan tampilan citra merepresentasikan obyek batasan lua citra kendala penerapan fungsi manfaat citra aplikasi penggabungan citra mosaic panoram memperlua tampilan citra bermanfaat informasi obyek penelitian metod scale invari featur transform sift pendeteksian keypoint keypoint berubah berdasarkan nilai threshold ditentukan 20 pasang citra ditel nilai threshold 01 12 citra masukan keypoint berkesesuaian bernilai 0 prose mosaic panoram nilai threshold 06 keypoint berkesesuaian bernilai menghasilkan citra hasil mosaic panoram nilai threshold 09 keypoint berkesesuaian 14 pasang citra masukan 70 citra masukan ditemukan prose mosaic panoram menghasilkan citra hasil mosaic panoram baikkata kunci mosaic panoram sift scale invari featur transform keypoint,komputasi
teknolog biometrik mengalami perkembangan pesat lazim diterapkan bidang aplikasi prose pengenalan telapak tangan ditel 10 telapak tangan biometrika relatif telapak tangan memiliki karakteristik unik gari telapak tangan bersifat stabil orang gari telapak tangan berbeda orang kembar keunikan kestabilan gari telapak tangan telapak tangan fitur handal telapak tangan sistem pengenalan penelitian prose pengenalan telapak tangan metod naiv bay prose classifi reduksi dimensinya princip compon analysi pca sistem diuji coba 100 citra telapak tangan 10 orang orang 10 sampel telapak tangan hasil pengujian ratarata memperoleh persentas keberhasilan 5145,komputasi
diagnosa penyakit mata sistem informasi inti permasalahan penelitian studi dokter pakar memiliki keterbatasan melayani pasien 24 jam harihari dokter minggu 6 jam kali pelayanan asisten dokter membantu pelayanan denga maksim maksimalnya peranan dokter pasien terbatasnya keberadaaan dokter pakar minimnya pelayanan dokter pasien nya minimnya pengetahuan gejala sakit dirasakan mendukung terdapatnya sistem diagnosa solusi gejala berdasarkan penelitian bertujuan aplikasi sistem pakar berbasi web mendiagnosa gejala penyakit mata metod pengembangan aplikasi fuzzi mamdani inferensi forward chain input dibutuhkan sistem data jeni gejala gejala output nilai tingkat keparahan penyakit mengarah solusi hasil uji coba sistem dokter diperoleh nilai keakuratan 80 10 kunci metod fuzzi mamdani forward chain diagnosa penyakit mata,rpl
penggunaan teknolog mobil marak disamp keunggulannya mudah bawa dibawa kemanamana teknolog mobil mudah dieksplorasi terbukti smartphon layanan bermanfaat penggunanya toefl test of english as a foreign languang dibutuhkan menghadapi kemajuan teknolog besarnya minat masyarakat belajar bahasa inggri mengikuti test toefl berpengaruh kemajuan teknolog android subset perangkat lunak perangkat mobil meliputi sistem operasi middlewar aplikasi inti releas googl android sdk tool api applic program interfac aplikasi platform android bahasa pemrograman java eclips ide integr develop environ code aplikasi android salah pemanfaatan teknolog mobil media pembelajaran te toefl tek audio teknolog android berbasi mobil te toefl pembelajaran test kelebihan listen menu aplikasi diharapkan membatu meningkatkan pemahaman pengguna te toeflkata kunci te toefl android java mobil sdk,rpl
teknik kalibrasi berpengaruh perkembangan comput vision prose teknik kalibrasi pengolahan lanjutan prose vision dilakukannya kalibrasi prose vision mudah prosesnya teknik kalibrasi menentukan paramet prose vision rekonstruksi 3d penelitian mencoba mengangkat teknik kalibrasi kamera klasik popular teknik kalibrasi kamera algoritma tsai simulasi hasil paramet pengukuran obyek aplikasi dibandingkan obyek real hasil ujicoba didapatkan hasil tahapan prose kalibrasi kamera metod tsai berhasil data paramet simulasi ujicoba 5 skenario masingmas skenario 2 percobaan hasil hasil pengukuran aplikasi hasil pengukuran nyata galat rel perhitungan aplikasi ratarata 506 perhitungan nyata hasil disebabkan prose pengambilan data spesifikasi terbataskata kunci kalibrasi kamera algoritma tsai comput vision,komputasi
pemilihan supplier salah isu pemilihan supplier suppli chain hubungan memiliki pengaruh kelangsungan produksipada tuga dianalisa analyt hierarchi process ahp fuzzi multiobject program fmop pemilihan supplier industri batik podhek pemekasan perhitungan ahp diperoleh nilai bobot kriteria pemilihan supplier nilai masukan fmop fmop solusi memaksimalkan meminimalkan tujuansetelah prose perhitungan faktor kriteria kontribusi pemilihan supplier kriteria harga 052 kualita 02 tingkat cacat 02 keterlambatan pengiriman 008 hasil penelitian diperoleh supplier optimum toko utara bahan baku kain batasan pembelian 0 500 lembar didapatkan hasil z1 380 z2 415 z3 85 z4 250 bahan baku pewarna malan batasan pembelian 0 250 kg didapatkan hasil z1 0 z2 220 z3 30 z4 125 z1 1475 z2 225 z3 25 z4 125kata kunci suppli chain manag scm pemilihan supplier analyt hierarchi process fuzzi multiobject program,komputasi
kabupaten pamekasan salah pusat industri perdagangan batik tuli diandalkan salah sumber pendapatan daerah batik tuli madura batik tuli pamekasan memiliki corak design kha penuli menel pembuatan model penjualan produk unggulan batik kha pamekasan berbasi electron commerc tujuan penelitian membangun model ecommerc interaktif mendukung potensi perindustrian perdagangan kabupaten pamekasan mempermudah transaksi penjualan produk unggulan batik tuli kha pamekasan model ecommerc diterapkan busi tapi custom b2c metodolog penelitian metod sdlc softwar develop life cycl sdlc waterfal berdasarkan hasil analisi kuision dibagikan pelanggan 50 responden mencakup fiturfitur websit simpulan diambil pemodelan diimplementasikan websit ecommerc dibuktikan hasil kuison ratarata persentas responden setuju mencapai 53 kunci batik ecommerc b2c model,rpl
toko batik tuli madura salah toko beroperasi 2011 denganmenggunakan websit ecommerc model ecommerc websit memilikikekurangan fitur rekomndasi memudahkan konsumen mencari barang ingindibelinya penelitian bertujuan rekomendasi decis aid membantu pelanggandalam memilih produk websit toko batik tuli madura teknik pengumpulan anali data daristudi literatur berhubungan decis aid multi criteria observasi terhadapwebsit toko batik tuli madura interview pemilik websit toko batik tuli madurapembuatan implementasi penelitian model waterfal jeni decis aid akandiimplementasikan multi criteria filter metod pembobotan multi criteriafilt decis matrix hasil ujicoba sampl percobaan 50 kali dataperconbaan pencarian presentas akurasi 94 error 6 hasil uji kelayakan beberapakuison dihasilkan performa dimiliki tool tool layak diintegrasikanserta websit ecommercekata kunci decis aid multi criteria filter,rpl
malaria disebabkan intraselul parasit bersel tunggal dimiliki genu plasmodium menginfeksi manusia memasuki aliran darah dampak malaria geografi memiliki tingkat transmisi tertinggi daerah tropi subtrop negaranegara memiliki tingkat pertumbuhan penduduk indonesia pendeteksian parasit malaria mencari titik kromatin titik kromatin sel darah merah sel darah merah anggap sel darah merah sehat pendeteksian titik kromatin manual prose segmentasi diharapkan langkah memudahkan pendeteksian titik kromatin segmentasi salah faktor analisi gambar penelitian segmentasi sel darah merah operasi morfolog deteksi tepi canni transformasi watersh data 15 data citra citra diuji operasi morfolog citra hasil morfolog diuji 16 kali percobaan paramet mask sigma high threshold hati low threshold lantai deteksi tepi canni hasil pengujian disegmentasi transformasi watersh perhitungan tingkat akurasi membandingkan koordinat piksel citra hasil segmentasi citra ground truth menghasilkan nilai ratarata akurasi 393,komputasi
pt po indonesia persero salah perusahaan bergerak bidang komunikasi inisalah produk pelayanan pt po indonesia persero produk po express produk po express inidiharapkan diminati masyarakat bertahan keunggulan ptpo indonesia persero analisi pola perkembangan kemajuan yangtelah memperoleh informasi peramalan depanterhadap produk po express masuk kantor mail process center mpc surabaya inianalisi peramalan produk po express metod rbfnnradial basic function neural network hasil analisa ujicoba menghasilkan nilai yangcukup optim salah satunya percobaan 2 inputan hasil peramalan epoch ke60 yangmemperoleh hasil mse 0124497 mape 15058923 hasil ramal 25879966kata kunci peramalan jaringan syaraf tiruan jst radial basi function neural network rbfnn,komputasi
deteksi manusia aplikasi berfungsi mendeteksi objek manusia citra keuntungan diambil kajian penerapan video pengawasan video pengawasan manusia dideteksi bergerak aplikasi mendeteksi menemukan objek manusia background citra prose pembuatan aplikasi perhitungan perhitungan khusu hasil penelitian tahap prose ekstraksi fitur klasifikasi prose ekstraksi fitur metod histogram of orient gradient hog prinsipnya hog histogram memperoleh ekstraksi fitur langkah diantarnya konversi citra gradient comput normalisasi metod naiv bay classifi prose pengklasifikasian pencocokan citra hasil kela citra diuji berdasarkan uji coba aplikasi perhitungan distribusi gaussian probabilita naiv bay classfier nilai threshold 121314 15 skenario 1 2 3 diperoleh akurasi 6865kata kunci histogram of orient gradient naiv bay classifi,komputasi
